Timestamp,NIFTY Price
2025-03-10 13:08:22,22610.7
2025-03-10 13:08:23,22610.7
2025-03-10 13:08:24,22610.1
2025-03-10 13:08:25,22609.2
2025-03-10 13:08:26,22608.25
2025-03-10 13:08:27,22608.45
2025-03-10 13:08:28,22608.4
2025-03-10 13:08:29,22609.55
2025-03-10 13:08:30,22609.35
2025-03-10 13:08:31,22609.75
2025-03-10 13:08:33,22610.8
2025-03-10 13:08:34,22610.3
2025-03-10 13:08:35,22610.2
2025-03-10 13:08:36,22610.75
2025-03-10 13:08:37,22610.55
2025-03-10 13:08:38,22609.4
2025-03-10 13:08:39,22610.1
2025-03-10 13:08:40,22608.35
2025-03-10 13:08:41,22610.65
2025-03-10 13:08:42,22610.2
2025-03-10 13:08:43,22610.6
2025-03-10 13:08:44,22610.8
2025-03-10 13:08:46,22609.7
2025-03-10 13:08:47,22609.95
2025-03-10 13:08:48,22609.75
2025-03-10 13:08:49,22609.3
2025-03-10 13:08:50,22609.65
2025-03-10 13:08:51,22609.35
2025-03-10 13:08:52,22609.4
2025-03-10 13:08:53,22609.75
2025-03-10 13:08:54,22609.8
2025-03-10 13:08:55,22609.3
2025-03-10 13:08:56,22609.1
2025-03-10 13:08:57,22608.75
2025-03-10 13:08:58,22608.6
2025-03-10 13:09:00,22609.4
2025-03-10 13:09:01,22609.45
2025-03-10 13:09:02,22610.5
2025-03-10 13:09:03,22609.8
2025-03-10 13:09:04,22609.4
2025-03-10 13:09:05,22609.75
2025-03-10 13:09:06,22609.8
2025-03-10 13:09:07,22611.3
2025-03-10 13:09:08,22610.95
2025-03-10 13:09:09,22610.35
2025-03-10 13:09:10,22611.0
2025-03-10 13:09:11,22611.3
2025-03-10 13:09:13,22611.35
2025-03-10 13:09:14,22611.7
2025-03-10 13:09:15,22611.2
2025-03-10 13:09:16,22608.1
2025-03-10 13:09:17,22608.6
2025-03-10 13:09:18,22608.9
2025-03-10 13:09:19,22608.95
2025-03-10 13:09:20,22607.85
2025-03-10 13:09:21,22608.5
2025-03-10 13:09:22,22608.5
2025-03-10 13:09:23,22608.5
2025-03-10 13:09:24,22608.25
2025-03-10 13:09:26,22607.85
2025-03-10 13:09:27,22607.65
2025-03-10 13:09:28,22607.85
2025-03-10 13:09:29,22607.8
2025-03-10 13:09:30,22607.7
2025-03-10 13:09:31,22610.0
2025-03-10 13:09:32,22608.75
2025-03-10 13:09:33,22608.2
2025-03-10 13:09:34,22608.2
2025-03-10 13:09:35,22607.5
2025-03-10 13:09:36,22607.3
2025-03-10 13:09:37,22606.85
2025-03-10 13:09:39,22606.9
2025-03-10 13:09:40,22607.0
2025-03-10 13:09:41,22606.55
2025-03-10 13:09:42,22606.45
2025-03-10 13:09:43,22606.6
2025-03-10 13:09:44,22607.75
2025-03-10 13:09:45,22607.25
2025-03-10 13:09:46,22606.75
2025-03-10 13:09:47,22606.35
2025-03-10 13:09:48,22606.9
2025-03-10 13:09:49,22607.1
2025-03-10 13:09:50,22606.8
2025-03-10 13:09:52,22607.4
2025-03-10 13:09:53,22607.7
2025-03-10 13:09:54,22607.25
2025-03-10 13:09:55,22607.2
2025-03-10 13:09:56,22607.95
2025-03-10 13:09:57,22607.85
2025-03-10 13:09:59,22608.6
2025-03-10 13:10:00,22607.8
2025-03-10 13:10:01,22607.9
2025-03-10 13:10:02,22608.55
2025-03-10 13:10:03,22608.35
2025-03-10 13:10:05,22608.8
2025-03-10 13:10:06,22607.6
2025-03-10 13:10:07,22607.65
2025-03-10 13:10:08,22607.6
2025-03-10 13:10:09,22608.55
2025-03-10 13:10:10,22609.0
2025-03-10 13:10:11,22609.6
2025-03-10 13:10:12,22609.35
2025-03-10 13:10:13,22608.8
2025-03-10 13:10:14,22609.6
2025-03-10 13:10:15,22610.8
2025-03-10 13:10:16,22609.95
2025-03-10 13:10:18,22609.95
2025-03-10 13:10:19,22610.55
2025-03-10 13:10:20,22610.65
2025-03-10 13:10:21,22611.1
2025-03-10 13:10:22,22610.2
2025-03-10 13:10:23,22609.5
2025-03-10 13:10:24,22610.25
2025-03-10 13:10:25,22610.2
2025-03-10 13:10:26,22610.65
2025-03-10 13:10:27,22611.4
2025-03-10 13:10:28,22611.1
2025-03-10 13:10:29,22611.9
2025-03-10 13:10:31,22609.9
2025-03-10 13:10:32,22611.35
2025-03-10 13:10:33,22612.05
2025-03-10 13:10:34,22612.25
2025-03-10 13:10:35,22612.6
2025-03-10 13:10:36,22611.9
2025-03-10 13:10:37,22611.3
2025-03-10 13:10:38,22611.85
2025-03-10 13:10:39,22611.75
2025-03-10 13:10:40,22611.45
2025-03-10 13:10:41,22611.8
2025-03-10 13:10:42,22611.7
2025-03-10 13:10:44,22612.05
2025-03-10 13:10:45,22611.75
2025-03-10 13:10:46,22611.6
